system:index,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,CLASS_2023,LAT,LON,PESO_AMOS,bacia,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,classification_2023,classification_2024,classification_2025,.geo
1_1_1_2_00000000000000001154_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.7149046,-42.64072907,"106032,271186441",7438,4,4,4,4,4,4,4,4,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.640646001650765,-6.715041496086041]}"
1_1_1_2_00000000000000001155_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.525719401,-42.54883142,"106032,271186441",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.54874834808534,-6.5255868026652335]}"
1_1_1_2_00000000000000001156_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.605489798,-42.30278286,"106032,271186441",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.302699791765,-6.605357199895047]}"
1_1_1_2_00000000000000001157_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.689841603,-42.56931301,"106032,271186441",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.56922993656326,-6.68970900507387]}"
1_1_1_2_00000000000000001159_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.74724395,-42.38336174,"90384,6666666664",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.38327867275052,-6.7471113517291075]}"
1_1_1_2_00000000000000001719_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.381728609,-41.22049261,"104538,222222222",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.220409537457805,-8.381596011184577]}"
1_1_1_2_0000000000000000174a_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-8.028421208,-40.86556824,"104538,222222222",7438,4,4,4,4,4,4,4,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.86548516870218,-8.028288609940368]}"
1_1_1_2_00000000000000001760_0,FORMAÇÃO SAVÂNICA,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,,-8.091752435,-41.29918503,"104538,222222222",7438,4,4,4,4,4,21,21,21,21,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.299101956346675,-8.091619837470795]}"
1_1_1_2_00000000000000001771_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.028151713,-41.66461969,"104538,222222222",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.664536613926494,-8.028019115355132]}"
1_1_1_2_00000000000000001789_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-8.060491064,-41.13209839,"104764,166666667",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.13201531350044,-8.060358465583436]}"
