area,classe,year,Bacia,percent
2645.0196847302927,21,2020,7625,28.12
16.89791421752929,25,2020,7625,0.18
823.8885148043036,3,2021,7625,8.76
5859.81164873404,4,2021,7625,62.3
0.0295022622740502,12,2021,7625,0.0
2702.603703141482,21,2021,7625,28.73
19.78430209594726,25,2021,7625,0.21
0.0874666381835937,33,2021,7625,0.0
821.1904613232406,3,2022,7625,8.73
5813.564245391542,4,2022,7625,61.81
0.0295022622740502,12,2022,7625,0.0
2750.802473524004,21,2022,7625,29.24
20.09364127130246,25,2022,7625,0.21
0.5248139038085937,33,2022,7625,0.01
821.4834191349985,3,2023,7625,8.73
5798.621893320534,4,2023,7625,61.65
0.0295022622740502,12,2023,7625,0.0
2767.813435770289,21,2023,7625,29.43
17.119736925599334,25,2023,7625,0.18
1.137150262451172,33,2023,7625,0.01
199.99127271857785,3,2016,7584,0.02
684448.2678311644,4,2016,7584,56.53
42303.51101121116,12,2016,7584,3.49
472504.82657562353,21,2016,7584,39.03
9823.0879003319,25,2016,7584,0.81
1478.813068013868,33,2016,7584,0.12
203.17835197272825,3,2017,7584,0.02
668997.6228447405,4,2017,7584,55.25
42909.96655420509,12,2017,7584,3.54
485786.3861678946,21,2017,7584,40.12
10994.558994010576,25,2017,7584,0.91
1866.784746213404,33,2017,7584,0.15
206.01156717048207,3,2018,7584,0.02
651696.2599330258,4,2018,7584,53.83
31875.46699807929,12,2018,7584,2.63
509623.19105029415,21,2018,7584,42.09
13191.468846634103,25,2018,7584,1.09
4166.099263824428,33,2018,7584,0.34
206.63128065925164,3,2019,7584,0.02
625949.6460579069,4,2019,7584,51.7
27836.802446323967,12,2019,7584,2.3
538750.0869259877,21,2019,7584,44.5
14436.17080031255,25,2019,7584,1.19
3579.1601478070843,33,2019,7584,0.3
206.4542200818591,3,2020,7584,0.02
608201.5891528514,4,2020,7584,50.23
30259.624954147348,12,2020,7584,2.5
550985.9154674379,21,2020,7584,45.51
15008.699654017324,25,2020,7584,1.24
6096.21421047371,33,2020,7584,0.5
204.06273374152704,3,2021,7584,0.02
601807.8100528996,4,2021,7584,49.71
32692.01633879595,12,2021,7584,2.7
556591.6448355706,21,2021,7584,45.97
14962.240877918155,25,2021,7584,1.24
4500.72282008682,33,2021,7584,0.37
203.08832775397823,3,2022,7584,0.02
601095.2975800293,4,2022,7584,49.65
31209.173261397555,12,2022,7584,2.58
559716.5578079306,21,2022,7584,46.23
13775.6563943404,25,2022,7584,1.14
4758.72428757126,33,2022,7584,0.39
202.55687119880247,3,2023,7584,0.02
606696.1237461878,4,2023,7584,50.11
26763.53043541318,12,2023,7584,2.21
560634.7519853362,21,2023,7584,46.3
12279.574380013397,25,2023,7584,1.01
4181.960240881028,33,2023,7584,0.35
238343.5825684628,3,2016,751,17.96
898623.4079368772,4,2016,751,67.7
7803.066098960448,12,2016,751,0.59
120124.07307200375,21,2016,751,9.05
42408.79148288311,25,2016,751,3.19
20136.11204159849,33,2016,751,1.52
240468.85941087623,3,2017,751,18.12
893187.4325969319,4,2017,751,67.29
7862.124457941749,12,2017,751,0.59
122158.56945264274,21,2017,751,9.2
41600.29484523438,25,2017,751,3.13
22161.7524371596,33,2017,751,1.67
240895.4309301388,3,2018,751,18.15
889712.125355699,4,2018,751,67.02
7872.221733413104,12,2018,751,0.59
123336.62007830622,21,2018,751,9.29
41759.52824171308,25,2018,751,3.15
23863.1068615044,33,2018,751,1.8
240993.5624987468,3,2019,751,18.15
885738.6044457551,4,2019,751,66.73
8302.475671882958,12,2019,751,0.63
126126.20233450552,21,2019,751,9.5
40784.332311008046,25,2019,751,3.07
25493.855938873345,33,2019,751,1.92
241182.02076838547,3,2020,751,18.17
882124.6341572184,4,2020,751,66.45
8225.600251763057,12,2020,751,0.62
129261.48438329692,21,2020,751,9.74
40738.366260318086,25,2020,751,3.07
25906.92737978805,33,2020,751,1.95
241234.10861304268,3,2021,751,18.17
875485.245947711,4,2021,751,65.95
8118.920063914325,12,2021,751,0.61
136256.7551576544,21,2021,751,10.26
40909.38497409804,25,2021,751,3.08
25434.61844433921,33,2021,751,1.92
240713.9463423236,3,2022,751,18.13
867426.4964877465,4,2022,751,65.35
7277.251570276231,12,2022,751,0.55
143843.06019853344,21,2022,751,10.84
40804.09675588549,25,2022,751,3.07
27374.18184599087,33,2022,751,2.06
240390.1977527412,3,2023,751,18.11
866014.5559286826,4,2023,751,65.24
7190.214554293949,12,2023,751,0.54
145385.0532797928,21,2023,751,10.95
41059.875432812274,25,2023,751,3.09
27399.136252435503,33,2023,751,2.06
35883.629617744045,3,2016,752,2.55
1167603.7060644056,4,2016,752,83.06
1398.1494030257145,12,2016,752,0.1
182673.18320898447,21,2016,752,13.0
11081.744014735958,25,2016,752,0.79
7038.658623282427,33,2016,752,0.5
35721.191503939,3,2017,752,2.54
1171410.0715495744,4,2017,752,83.33
919.8699259810378,12,2017,752,0.07
175257.78199926854,21,2017,752,12.47
11297.295810884876,25,2017,752,0.8
11072.860142565802,33,2017,752,0.79
35639.45315641418,3,2018,752,2.54
1170164.5862868782,4,2018,752,83.25
658.859229646187,12,2018,752,0.05
173815.0370586196,21,2018,752,12.37
11828.222702689343,25,2018,752,0.84
13572.91249796739,33,2018,752,0.97
35525.08680893056,3,2019,752,2.53
1165863.1540106118,4,2019,752,82.94
560.7477306471644,12,2019,752,0.04
172906.68818216625,21,2019,752,12.3
12054.880244412763,25,2019,752,0.86
18768.51395548118,33,2019,752,1.34
35359.33360308187,3,2020,752,2.52
1155794.3797013853,4,2020,752,82.22
522.6996865562046,12,2020,752,0.04
180931.5505344971,21,2020,752,12.87
12234.593181928009,25,2020,752,0.87
20836.514224786584,33,2020,752,1.48
35190.39963352438,3,2021,752,2.5
1145741.8156585735,4,2021,752,81.51
603.7166746113136,12,2021,752,0.04
191266.12597517463,21,2021,752,13.61
12402.046582238894,25,2021,752,0.88
20474.966408094373,33,2021,752,1.46
34972.33685780791,3,2022,752,2.49
1125990.5994769707,4,2022,752,80.1
497.0014414035929,12,2022,752,0.04
208975.73596640024,21,2022,752,14.87
12395.951062368384,25,2022,752,0.88
22847.446127262578,33,2022,752,1.63
34921.3194976619,3,2023,752,2.48
1123290.734341284,4,2023,752,79.91
397.56394498901307,12,2023,752,0.03
209156.84467768663,21,2023,752,14.88
12647.556426431458,25,2023,752,0.9
25265.052044174496,33,2023,752,1.8
9287.091032947634,3,2016,7616,0.65
781354.2731788898,4,2016,7616,54.97
9643.773873396312,12,2016,7616,0.68
612464.5388951089,21,2016,7616,43.09
8284.188587188424,25,2016,7616,0.58
0.877785400390625,27,2016,7616,0.0
267.6410743394076,33,2016,7616,0.02
9389.03902006249,3,2017,7616,0.66
771308.8271464998,4,2017,7616,54.27
9907.149235252287,12,2017,7616,0.7
621471.2642266289,21,2017,7616,43.73
8984.044346482224,25,2017,7616,0.63
0.7898342651367187,27,2017,7616,0.0
241.27061803722867,33,2017,7616,0.02
9441.22551118852,3,2018,7616,0.66
730266.3955819216,4,2018,7616,51.38
10162.794369149622,12,2018,7616,0.72
661553.6298653067,21,2018,7616,46.55
9636.876695420346,25,2018,7616,0.68
0.7898342651367187,27,2018,7616,0.0
240.6725700095019,33,2018,7616,0.02
9444.14842344886,3,2019,7616,0.66
717694.2942242232,4,2019,7616,50.5
10662.114216238357,12,2019,7616,0.75
673739.8594270749,21,2019,7616,47.4
